name,link,letter_name
Nadia Heninger,https://en.wikipedia.org/wiki/Nadia_Heninger,H
Starr Roxanne Hiltz,https://en.wikipedia.org/wiki/Starr_Roxanne_Hiltz,H
Julia Hirschberg,https://en.wikipedia.org/wiki/Julia_Hirschberg,H
Thea D. Hodge,https://en.wikipedia.org/wiki/Thea_D._Hodge,H
Jessica Hodgins,https://en.wikipedia.org/wiki/Jessica_Hodgins,H
Betty Holberton,https://en.wikipedia.org/wiki/Betty_Holberton,H
Karen Holtzblatt,https://en.wikipedia.org/wiki/Karen_Holtzblatt,H
Molly Holzschlag,https://en.wikipedia.org/wiki/Molly_Holzschlag,H
Grace Hopper,https://en.wikipedia.org/wiki/Grace_Hopper,H
Susan B. Horwitz,https://en.wikipedia.org/wiki/Susan_B._Horwitz,H
Ayanna Howard,https://en.wikipedia.org/wiki/Ayanna_Howard,H
Sandra Hutchins,https://en.wikipedia.org/wiki/Sandra_Hutchins,H
Lila Ibrahim,https://en.wikipedia.org/wiki/Lila_Ibrahim,I
Mary Jane Irwin,https://en.wikipedia.org/wiki/Mary_Jane_Irwin,I
Divya Jain,https://en.wikipedia.org/wiki/Divya_Jain,J
Leah Jamieson,https://en.wikipedia.org/wiki/Leah_Jamieson,J
Katherine Johnson,https://en.wikipedia.org/wiki/Katherine_Johnson,J
Lynne Jolitz,https://en.wikipedia.org/wiki/Lynne_Jolitz,J
Anita K. Jones,https://en.wikipedia.org/wiki/Anita_K._Jones,J
Nataša Jonoska,https://en.wikipedia.org/wiki/Nata%C5%A1a_Jonoska,J
Leslie P. Kaelbling,https://en.wikipedia.org/wiki/Leslie_P._Kaelbling,K
Yael Tauman Kalai,https://en.wikipedia.org/wiki/Yael_Tauman_Kalai,K
Anna Karlin,https://en.wikipedia.org/wiki/Anna_Karlin,K
Lydia Kavraki,https://en.wikipedia.org/wiki/Lydia_Kavraki,K
Mary Kenneth Keller,https://en.wikipedia.org/wiki/Mary_Kenneth_Keller,K
Wendy Kellogg,https://en.wikipedia.org/wiki/Wendy_Kellogg,K
Martine Kempf,https://en.wikipedia.org/wiki/Martine_Kempf,K
Kim Rees,https://en.wikipedia.org/wiki/Kim_Rees,K
Maria Klawe,https://en.wikipedia.org/wiki/Maria_Klawe,K
Tamara G. Kolda,https://en.wikipedia.org/wiki/Tamara_G._Kolda,K
Daphne Koller,https://en.wikipedia.org/wiki/Daphne_Koller,K
Janet L. Kolodner,https://en.wikipedia.org/wiki/Janet_L._Kolodner,K
Jana Košecká,https://en.wikipedia.org/wiki/Jana_Ko%C5%A1eck%C3%A1,K
Věra Kůrková,https://en.wikipedia.org/wiki/V%C4%9Bra_K%C5%AFrkov%C3%A1,K
Monica S. Lam,https://en.wikipedia.org/wiki/Monica_S._Lam,L
Susan Landau,https://en.wikipedia.org/wiki/Susan_Landau,L
Amy L. Lansky,https://en.wikipedia.org/wiki/Amy_L._Lansky,L
Corinna E. Lathan,https://en.wikipedia.org/wiki/Corinna_E._Lathan,L
Cynthia B. Lee,https://en.wikipedia.org/wiki/Cynthia_B._Lee,L
Sandy Lerner,https://en.wikipedia.org/wiki/Sandy_Lerner,L
Nancy Leveson,https://en.wikipedia.org/wiki/Nancy_Leveson,L
Jaime Levy,https://en.wikipedia.org/wiki/Jaime_Levy,L
Nancy Lieder,https://en.wikipedia.org/wiki/Nancy_Lieder,L
