geoid,name,total_population,total_population_25_over,median_income,median_home_value,educational_attainment,white_alone,black_alone,native_alone,asian_alone,native_hawaiian_pacific_islander,some_other_race_alone,two_or_more,hispanic_or_latino,city,metro_area
34029720103,"Census Tract 7201.03, Ocean County, New Jersey",4864.0,4770.0,32899.0,60000.0,654.0,4557.0,24.0,0.0,128.0,0.0,0.0,16.0,139.0,New York City,New York-Newark-Jersey City
34029720202,"Census Tract 7202.02, Ocean County, New Jersey",3839.0,3283.0,34909.0,87000.0,841.0,3231.0,370.0,0.0,59.0,0.0,0.0,14.0,165.0,New York City,New York-Newark-Jersey City
34029727001,"Census Tract 7270.01, Ocean County, New Jersey",2042.0,1756.0,68098.0,711300.0,800.0,1968.0,0.0,0.0,0.0,0.0,0.0,9.0,65.0,New York City,New York-Newark-Jersey City
34029730000,"Census Tract 7300, Ocean County, New Jersey",2185.0,1600.0,95909.0,305100.0,628.0,2021.0,23.0,0.0,43.0,0.0,0.0,5.0,93.0,New York City,New York-Newark-Jersey City
34029731001,"Census Tract 7310.01, Ocean County, New Jersey",3144.0,2345.0,78657.0,286500.0,566.0,2916.0,0.0,0.0,86.0,0.0,7.0,35.0,100.0,New York City,New York-Newark-Jersey City
34029732002,"Census Tract 7320.02, Ocean County, New Jersey",9200.0,6372.0,69119.0,233400.0,1753.0,8270.0,177.0,0.0,97.0,0.0,0.0,0.0,656.0,New York City,New York-Newark-Jersey City
34029736002,"Census Tract 7360.02, Ocean County, New Jersey",1605.0,1122.0,77708.0,262800.0,216.0,1505.0,0.0,0.0,0.0,0.0,0.0,70.0,30.0,New York City,New York-Newark-Jersey City
34029711400,"Census Tract 7114, Ocean County, New Jersey",5547.0,3940.0,89477.0,429900.0,1791.0,5316.0,19.0,0.0,0.0,0.0,0.0,0.0,212.0,New York City,New York-Newark-Jersey City
34029713203,"Census Tract 7132.03, Ocean County, New Jersey",4808.0,3664.0,54183.0,222200.0,929.0,3743.0,344.0,0.0,82.0,0.0,0.0,0.0,639.0,New York City,New York-Newark-Jersey City
34029713300,"Census Tract 7133, Ocean County, New Jersey",3989.0,3300.0,40721.0,170100.0,808.0,3782.0,20.0,0.0,5.0,0.0,13.0,66.0,103.0,New York City,New York-Newark-Jersey City
34029714200,"Census Tract 7142, Ocean County, New Jersey",7012.0,4692.0,83005.0,306700.0,1196.0,6052.0,109.0,0.0,128.0,0.0,0.0,24.0,699.0,New York City,New York-Newark-Jersey City
34029715500,"Census Tract 7155, Ocean County, New Jersey",12155.0,4194.0,55593.0,368400.0,1636.0,11213.0,54.0,15.0,53.0,0.0,0.0,54.0,781.0,New York City,New York-Newark-Jersey City
34029715600,"Census Tract 7156, Ocean County, New Jersey",8052.0,2914.0,47784.0,425400.0,724.0,6266.0,312.0,0.0,3.0,0.0,0.0,0.0,1471.0,New York City,New York-Newark-Jersey City
34029717200,"Census Tract 7172, Ocean County, New Jersey",8834.0,6334.0,103026.0,376700.0,2021.0,7679.0,264.0,17.0,212.0,0.0,0.0,17.0,662.0,New York City,New York-Newark-Jersey City
34029722701,"Census Tract 7227.01, Ocean County, New Jersey",4749.0,3423.0,106375.0,317200.0,1394.0,4275.0,0.0,14.0,259.0,0.0,0.0,0.0,201.0,New York City,New York-Newark-Jersey City
34029725100,"Census Tract 7251, Ocean County, New Jersey",2027.0,1323.0,74020.0,224200.0,260.0,1703.0,84.0,0.0,19.0,0.0,0.0,12.0,209.0,New York City,New York-Newark-Jersey City
34029729000,"Census Tract 7290, Ocean County, New Jersey",1911.0,1331.0,62813.0,250800.0,336.0,1693.0,62.0,0.0,7.0,0.0,0.0,0.0,149.0,New York City,New York-Newark-Jersey City
34029736001,"Census Tract 7360.01, Ocean County, New Jersey",3608.0,2941.0,88050.0,276900.0,983.0,3473.0,0.0,8.0,12.0,12.0,0.0,60.0,51.0,New York City,New York-Newark-Jersey City
34029720204,"Census Tract 7202.04, Ocean County, New Jersey",5721.0,3854.0,77564.0,243400.0,809.0,4288.0,128.0,0.0,154.0,0.0,18.0,444.0,689.0,New York City,New York-Newark-Jersey City
34029722401,"Census Tract 7224.01, Ocean County, New Jersey",5252.0,3594.0,77688.0,301000.0,1262.0,4748.0,45.0,11.0,72.0,0.0,0.0,240.0,147.0,New York City,New York-Newark-Jersey City
34029718000,"Census Tract 7180, Ocean County, New Jersey",8509.0,5716.0,91438.0,294400.0,1217.0,7334.0,318.0,0.0,70.0,0.0,0.0,37.0,750.0,New York City,New York-Newark-Jersey City
34029715302,"Census Tract 7153.02, Ocean County, New Jersey",6539.0,2263.0,26447.0,453700.0,673.0,5799.0,98.0,0.0,21.0,0.0,0.0,24.0,597.0,New York City,New York-Newark-Jersey City
34029717001,"Census Tract 7170.01, Ocean County, New Jersey",2925.0,1967.0,120694.0,319100.0,492.0,2310.0,214.0,0.0,64.0,0.0,0.0,32.0,305.0,New York City,New York-Newark-Jersey City
34029717300,"Census Tract 7173, Ocean County, New Jersey",5807.0,3864.0,108615.0,413400.0,1417.0,4794.0,496.0,0.0,82.0,0.0,0.0,96.0,339.0,New York City,New York-Newark-Jersey City
34029720203,"Census Tract 7202.03, Ocean County, New Jersey",4153.0,3190.0,60233.0,165000.0,897.0,3628.0,122.0,0.0,153.0,0.0,0.0,0.0,250.0,New York City,New York-Newark-Jersey City
34029722200,"Census Tract 7222, Ocean County, New Jersey",2271.0,2101.0,32181.0,123600.0,363.0,2157.0,0.0,8.0,11.0,0.0,0.0,23.0,72.0,New York City,New York-Newark-Jersey City
34029722600,"Census Tract 7226, Ocean County, New Jersey",3133.0,2209.0,87628.0,269800.0,483.0,3047.0,19.0,0.0,0.0,0.0,0.0,1.0,66.0,New York City,New York-Newark-Jersey City
34029724000,"Census Tract 7240, Ocean County, New Jersey",3741.0,2181.0,62500.0,186700.0,192.0,1711.0,594.0,3.0,30.0,0.0,0.0,303.0,1100.0,New York City,New York-Newark-Jersey City
34029731205,"Census Tract 7312.05, Ocean County, New Jersey",3232.0,3000.0,34810.0,138500.0,467.0,2721.0,182.0,0.0,13.0,0.0,0.0,56.0,260.0,New York City,New York-Newark-Jersey City
34029736101,"Census Tract 7361.01, Ocean County, New Jersey",6184.0,4233.0,60642.0,206200.0,963.0,5592.0,33.0,0.0,247.0,0.0,0.0,39.0,273.0,New York City,New York-Newark-Jersey City
34029738100,"Census Tract 7381, Ocean County, New Jersey",1601.0,1437.0,84489.0,936600.0,854.0,1572.0,1.0,0.0,5.0,0.0,4.0,17.0,2.0,New York City,New York-Newark-Jersey City
34029737000,"Census Tract 7370, Ocean County, New Jersey",3371.0,2409.0,57868.0,216300.0,579.0,3117.0,64.0,0.0,105.0,0.0,0.0,31.0,54.0,New York City,New York-Newark-Jersey City
34029710100,"Census Tract 7101, Ocean County, New Jersey",4577.0,3384.0,92143.0,556300.0,1698.0,4107.0,9.0,0.0,25.0,0.0,0.0,100.0,336.0,New York City,New York-Newark-Jersey City
34029711200,"Census Tract 7112, Ocean County, New Jersey",4597.0,3177.0,103477.0,359400.0,1256.0,4149.0,0.0,0.0,31.0,0.0,0.0,73.0,344.0,New York City,New York-Newark-Jersey City
34029713401,"Census Tract 7134.01, Ocean County, New Jersey",5110.0,3514.0,72063.0,208000.0,962.0,3981.0,165.0,0.0,65.0,0.0,0.0,205.0,694.0,New York City,New York-Newark-Jersey City
34029713800,"Census Tract 7138, Ocean County, New Jersey",3395.0,2443.0,75484.0,276000.0,752.0,2874.0,28.0,0.0,55.0,0.0,0.0,92.0,346.0,New York City,New York-Newark-Jersey City
34029714300,"Census Tract 7143, Ocean County, New Jersey",3275.0,2395.0,81875.0,346800.0,763.0,3179.0,0.0,0.0,7.0,0.0,0.0,0.0,89.0,New York City,New York-Newark-Jersey City
34029715200,"Census Tract 7152, Ocean County, New Jersey",12802.0,4652.0,42625.0,550100.0,1148.0,9362.0,407.0,0.0,104.0,0.0,0.0,27.0,2902.0,New York City,New York-Newark-Jersey City
34029715301,"Census Tract 7153.01, Ocean County, New Jersey",9434.0,3460.0,49923.0,375600.0,1066.0,7472.0,381.0,0.0,130.0,0.0,0.0,8.0,1443.0,New York City,New York-Newark-Jersey City
34029717102,"Census Tract 7171.02, Ocean County, New Jersey",4620.0,3625.0,74036.0,330000.0,1075.0,3682.0,170.0,0.0,404.0,0.0,0.0,20.0,344.0,New York City,New York-Newark-Jersey City
34029722500,"Census Tract 7225, Ocean County, New Jersey",1540.0,1408.0,68417.0,528700.0,617.0,1453.0,8.0,0.0,11.0,0.0,0.0,15.0,53.0,New York City,New York-Newark-Jersey City
34029722800,"Census Tract 7228, Ocean County, New Jersey",4808.0,3023.0,67817.0,286100.0,763.0,2816.0,344.0,0.0,352.0,0.0,0.0,53.0,1243.0,New York City,New York-Newark-Jersey City
34029723000,"Census Tract 7230, Ocean County, New Jersey",5752.0,3978.0,65595.0,263400.0,1153.0,4475.0,181.0,0.0,484.0,0.0,41.0,115.0,456.0,New York City,New York-Newark-Jersey City
34029723100,"Census Tract 7231, Ocean County, New Jersey",4177.0,3091.0,68029.0,288500.0,1106.0,3442.0,168.0,0.0,244.0,0.0,0.0,70.0,253.0,New York City,New York-Newark-Jersey City
34029723200,"Census Tract 7232, Ocean County, New Jersey",6553.0,4462.0,97927.0,288200.0,1452.0,5832.0,0.0,39.0,167.0,0.0,0.0,45.0,470.0,New York City,New York-Newark-Jersey City
34029731101,"Census Tract 7311.01, Ocean County, New Jersey",3444.0,2120.0,69470.0,305800.0,542.0,2832.0,95.0,0.0,104.0,0.0,27.0,129.0,257.0,New York City,New York-Newark-Jersey City
34029713900,"Census Tract 7139, Ocean County, New Jersey",6943.0,4461.0,61866.0,271800.0,945.0,5314.0,95.0,0.0,243.0,0.0,97.0,39.0,1155.0,New York City,New York-Newark-Jersey City
34029715800,"Census Tract 7158, Ocean County, New Jersey",7827.0,3134.0,60259.0,377200.0,975.0,6217.0,124.0,0.0,140.0,0.0,0.0,45.0,1301.0,New York City,New York-Newark-Jersey City
34029717400,"Census Tract 7174, Ocean County, New Jersey",5803.0,3894.0,91786.0,342200.0,1008.0,4550.0,100.0,0.0,353.0,0.0,0.0,61.0,739.0,New York City,New York-Newark-Jersey City
34029720102,"Census Tract 7201.02, Ocean County, New Jersey",3400.0,3381.0,24796.0,79800.0,463.0,3039.0,217.0,0.0,18.0,0.0,0.0,0.0,126.0,New York City,New York-Newark-Jersey City
34029721000,"Census Tract 7210, Ocean County, New Jersey",2687.0,1714.0,62262.0,186800.0,248.0,2080.0,109.0,0.0,124.0,0.0,3.0,29.0,342.0,New York City,New York-Newark-Jersey City
34029722100,"Census Tract 7221, Ocean County, New Jersey",6016.0,4994.0,85489.0,347800.0,1586.0,4993.0,126.0,0.0,473.0,0.0,35.0,54.0,335.0,New York City,New York-Newark-Jersey City
34029722402,"Census Tract 7224.02, Ocean County, New Jersey",3715.0,2834.0,89755.0,278100.0,1164.0,3399.0,46.0,0.0,62.0,4.0,0.0,75.0,129.0,New York City,New York-Newark-Jersey City
34029722900,"Census Tract 7229, Ocean County, New Jersey",5369.0,3596.0,60638.0,265500.0,1063.0,3643.0,314.0,0.0,309.0,0.0,0.0,298.0,805.0,New York City,New York-Newark-Jersey City
34029723500,"Census Tract 7235, Ocean County, New Jersey",2216.0,1687.0,61964.0,233300.0,438.0,1914.0,42.0,0.0,84.0,0.0,0.0,114.0,62.0,New York City,New York-Newark-Jersey City
34029723600,"Census Tract 7236, Ocean County, New Jersey",2440.0,1707.0,92537.0,309100.0,809.0,2273.0,51.0,0.0,18.0,0.0,0.0,0.0,98.0,New York City,New York-Newark-Jersey City
34029728000,"Census Tract 7280, Ocean County, New Jersey",5262.0,3760.0,53574.0,518300.0,1221.0,3977.0,90.0,0.0,70.0,91.0,0.0,10.0,1024.0,New York City,New York-Newark-Jersey City
34029732001,"Census Tract 7320.01, Ocean County, New Jersey",6375.0,4205.0,112067.0,342400.0,1519.0,6217.0,47.0,0.0,50.0,0.0,0.0,26.0,35.0,New York City,New York-Newark-Jersey City
34029734003,"Census Tract 7340.03, Ocean County, New Jersey",7580.0,4898.0,70276.0,203700.0,940.0,5992.0,626.0,0.0,87.0,0.0,26.0,61.0,788.0,New York City,New York-Newark-Jersey City
34029738001,"Census Tract 7380.01, Ocean County, New Jersey",2103.0,1948.0,81391.0,812300.0,1066.0,2072.0,0.0,0.0,7.0,0.0,0.0,17.0,7.0,New York City,New York-Newark-Jersey City
34029738002,"Census Tract 7380.02, Ocean County, New Jersey",1362.0,1166.0,85455.0,720100.0,647.0,1318.0,15.0,2.0,11.0,0.0,0.0,4.0,12.0,New York City,New York-Newark-Jersey City
34029713402,"Census Tract 7134.02, Ocean County, New Jersey",3585.0,2625.0,47996.0,225000.0,431.0,3092.0,67.0,0.0,0.0,0.0,0.0,33.0,393.0,New York City,New York-Newark-Jersey City
34029711100,"Census Tract 7111, Ocean County, New Jersey",4228.0,3130.0,84408.0,372400.0,1382.0,3967.0,53.0,9.0,0.0,0.0,0.0,34.0,165.0,New York City,New York-Newark-Jersey City
34029713000,"Census Tract 7130, Ocean County, New Jersey",4512.0,3120.0,71490.0,289700.0,879.0,3742.0,99.0,0.0,167.0,0.0,0.0,2.0,502.0,New York City,New York-Newark-Jersey City
34029713201,"Census Tract 7132.01, Ocean County, New Jersey",2606.0,1955.0,103641.0,377900.0,810.0,2466.0,28.0,0.0,26.0,0.0,0.0,0.0,86.0,New York City,New York-Newark-Jersey City
34029713700,"Census Tract 7137, Ocean County, New Jersey",2569.0,2039.0,106006.0,397600.0,846.0,2285.0,0.0,0.0,39.0,23.0,0.0,9.0,213.0,New York City,New York-Newark-Jersey City
34029714000,"Census Tract 7140, Ocean County, New Jersey",6124.0,4389.0,78606.0,277100.0,1070.0,4835.0,107.0,13.0,324.0,0.0,0.0,16.0,842.0,New York City,New York-Newark-Jersey City
34029715700,"Census Tract 7157, Ocean County, New Jersey",10290.0,5416.0,46556.0,333300.0,1565.0,8717.0,221.0,0.0,73.0,0.0,0.0,0.0,1279.0,New York City,New York-Newark-Jersey City
